sectionKey,sectionTitle,id,idxLabel,brand,price,imgSrc,artsyName,artsyDesc,cuePalette,cueSurface,cueStructure,cueAccent
OUTER,Outer,item-01,[01],La DoubleJ,1560 EUR,/mock/OUTER/P01130772 Background Removed.png,Floral Cascade,"An expanse of pure silk, rendered in shades of russet and cream, defines this fluid form. The material drapes with a satin sheen, gathering at the waist before falling into a wide, curvilinear silhouette.","Russet, Teal, Cream","Satin Sheen, Fluid Drape","Wide Leg, Gathered Waist","Curvilinear Motif, Bold Border"
OUTER,Outer,item-02,[02],Prada,3180 EUR,/mock/OUTER/P01136185 Background Removed.png,Refined Simplicity,"Polished calf leather, deeply hued in ebony, conforms to a streamlined form. Fine grain and subtle stitching detail a low profile structure, its edges burnished with use.","Ebony, Charcoal","Polished Leather, Fine Grain","Low Profile, Streamlined Form","Subtle Stitching, Burnished Edge"
OUTER,Outer,item-03,[03],Danielle Frankel,4220 EUR,/mock/OUTER/P01139660 Background Removed.png,Ephemeral Bloom,"A diffuse volume is achieved through layers of weightless tulle and acetate blends. The structure is anchored by a ruched bodice, presenting a soft focus aesthetic in shades of ivory and pale pearl.","Ivory, Pale Pearl","Weightless Tulle, Soft Focus","Ruched Bodice, Layered Skirt","Diffuse Volume, Delicate Gathering"
OUTER,Outer,item-04,[04],Faithfull,2540 EUR,/mock/OUTER/P01140007 Background Removed.png,Desert Horizon,"Woven from a textured linen and rayon blend in sandstone tones, this open design presents a defined waist. Horn buttons and braided ties fasten a V-neckline over a matte finish.","Khaki, Sandstone","Textured Linen, Matte Finish","Defined Waist, Open Front","Horn Buttons, Braided Ties"
OUTER,Outer,item-05,[05],Valentino Garavani,3310 EUR,/mock/OUTER/P01164178 Background Removed.png,Coastal Echo,"Woven leather in shades of sky blue and beige creates a textured surface, accented by studded details. An ankle strap secures the form, balanced over a wedge heel bound with rope.","Sky Blue, Beige","Woven Leather, Textured Sole","Ankle Strap, Wedge Heel","Studded Detail, Rope Binding"
OUTER,Outer,item-06,[06],Jean Paul Gaultier,3110 EUR,/mock/OUTER/P01169587 Background Removed.png,Optical Illusion,"Fine mesh, rippled in texture and smoky in hue, clings to a close silhouette. A subtle, wavy pattern is embedded within the translucent material, tracing the fitted form.","Charcoal, Smoke, Silvered Grey","Fine Mesh, Rippled Texture, Sheer","Close Silhouette, Fitted Form, Linear","Wavy Pattern, Logo Script, Delicate"
OUTER,Outer,item-07,[07],Amina Muaddi,4250 EUR,/mock/OUTER/P01057219 Background Removed.png,Bronze Embellishment,"The polished sheen of satin, rendered in burnt sienna, defines a sculpted curve. A high heel and slingback configuration support the streamlined form, embellished with crystalline details.","Burnt Sienna, Copper, Tawny","Satin Sheen, Polished Leather, Smooth","Slingback Curve, High Heel, Streamlined","Crystalline Detail, Bow Motif, Metallic"
UPPER,Upper,item-08,[08],Celine Eyewear,3500 EUR,/mock/UPPER/P01107824 Background Removed.png,Chromatic Outline,"Glossy acetate, smoothly finished in rose quartz, frames a bold oval contour. Reflective surfaces emphasize a minimalist geometric form, punctuated by a solid hue.","Fuchsia, Magenta, Rose Quartz","Glossy Acetate, Smooth Finish, Reflective","Oval Frame, Bold Contour, Rounded","Solid Hue, Geometric Form, Minimalist"
UPPER,Upper,item-09,[09],Frescobol Carioca,3010 EUR,/mock/UPPER/P01119173 Background Removed.png,Coastal Drift,"Woven from natural fiber canvas in shades of ecru and sand, this structure maintains a relaxed profile. A jute sole and woven trim establish a casual aesthetic, emphasizing its low form.","Ecru, Sand, Linen White","Canvas Texture, Natural Fiber, Matte","Low Profile, Slip On, Relaxed","Jute Sole, Woven Trim, Casual"
UPPER,Upper,item-10,[10],Jacquemus,1670 EUR,/mock/UPPER/P01123965 Background Removed.png,Barely There,"Translucent mesh, a blend of viscose, cotton, and polyester, conforms to the exposed form. Delicate straps secure a fluid structure, accentuated by minimal coverage and subdued tones.","Ebony, Shadow, Jet","Translucent Mesh, Fine Knit, Soft","Sculpted Cups, Minimal Coverage, Fluid","Strappy Detail, Exposed Form, Subdued"
UPPER,Upper,item-11,[11],Yeprem,1840 EUR,/mock/UPPER/P01129258 Background Removed.png,Gilded Arc,"A confluence of eighteen-karat white and yellow gold forms an open casing, strung with a scatter of carefully angled diamonds. The stones, a composition of round and marquise cuts, possess a combined weight and capture a pale gold effulgence, while delicate lines from the fine chain accentuate the form's inherent smoothness.","Pale Gold, Ivory","Bright Polish, Smooth Curve","Open Casing, Delicate Line","Diamond Scatter, Fine Chain"
UPPER,Upper,item-12,[12],Stone and Strand,3630 EUR,/mock/UPPER/P01136626 Background Removed.png,Lunar Bloom,"Ten-karat gold, bearing a subtle grain, is shaped into a minimalist pendant suspended from a fine link. Minute diamonds are closely set against the surface, their dispersed presence offering a faint dustiness.","Rose Gold, Pearl","Subtle Grain, Soft Sheen","Minimalist Pendant, Fine Link","Diamond Dust, Delicate Loop"
UPPER,Upper,item-13,[13],McQueen,1570 EUR,/mock/UPPER/P01142567 Background Removed.png,Sculpted Silhouette,"Dense wool, subtly informed by elastane, constructs a defined form, retaining structure through a fitted waist and defined shoulders. Button detailing and a structured lapel mark the surface, its matte finish absorbing available light.","Jet, Charcoal","Woven Texture, Matte Finish","Defined Shoulder, Fitted Waist","Button Detailing, Structured Lapel"
UPPER,Upper,item-14,[14],Brunello Cucinelli,3510 EUR,/mock/UPPER/P00912547 Background Removed.png,Terra Lines,"A construction of cotton and polyamide delivers a crisp texture, rendered in stripes of rust and cream. Relaxed volume defines its open form, and a button placket runs vertically along its center.","Rust, Cream","Crisp Cotton, Vertical Stripe","Relaxed Volume, Short Sleeve","Contrast Trim, Button Placket"
LOWER,Lower,item-15,[15],Faithfull,1910 EUR,/mock/LOWER/P01115286 Background Removed.png,Coastal Drift,"Viscose, cotton, nylon, and elastane combine in a ribbed knit, creating an object with a softly textured surface displaying a vibrant striped pattern. A polo collar and buttoned placket define it, while the form possesses a boxy dimensionality.","Coral, Ochre","Ribbed Knit, Soft Texture","Boxy Fit, Polo Collar","Striped Pattern, Buttoned Placket"
